datetime,ticker,company_name,avg_price,volume,market_index
2024-10-01 09:00:00,AAPL,Apple Inc.,175.74,560,2290.82
2024-10-01 09:00:00,AMZN,Amazon.com Inc.,145.35,350,2290.82
2024-10-01 09:00:00,JPM,JPMorgan Chase & Co.,147.94,380,2290.82
2024-10-01 09:00:00,META,Meta Platforms Inc.,299.91,910,2290.82
2024-10-01 09:00:00,NVDA,NVIDIA Corporation,485.81,180,2290.82
2024-10-01 09:00:00,PG,Procter & Gamble Company,153.63,200,2290.82
2024-10-01 09:00:00,TSLA,Tesla Inc.,250.04,1320,2290.82
2024-10-01 10:00:00,AAPL,Apple Inc.,175.47,800,2292.82
2024-10-01 10:00:00,AMZN,Amazon.com Inc.,145.54,220,2292.82
2024-10-01 10:00:00,GOOGL,Alphabet Inc.,140.38,2050,2292.82
2024-10-01 10:00:00,JPM,JPMorgan Chase & Co.,147.99,2060,2292.82
2024-10-01 10:00:00,META,Meta Platforms Inc.,300.27,2250,2292.82
2024-10-01 10:00:00,MSFT,Microsoft Corporation,330.41,2160,2292.82
2024-10-01 10:00:00,NVDA,NVIDIA Corporation,486.28,2280,2292.82
2024-10-01 10:00:00,PG,Procter & Gamble Company,154.25,190,2292.82
2024-10-01 10:00:00,TSLA,Tesla Inc.,250.41,1730,2292.82
2024-10-01 10:00:00,WMT,Walmart Inc.,161.82,360,2292.82
2024-10-01 11:00:00,AAPL,Apple Inc.,175.34,1900,2291.75
2024-10-01 11:00:00,AMZN,Amazon.com Inc.,145.67,2130,2291.75
2024-10-01 11:00:00,GOOGL,Alphabet Inc.,140.66,1770,2291.75
2024-10-01 11:00:00,JPM,JPMorgan Chase & Co.,147.92,750,2291.75
2024-10-01 11:00:00,META,Meta Platforms Inc.,299.84,720,2291.75
2024-10-01 11:00:00,MSFT,Microsoft Corporation,329.72,210,2291.75
2024-10-01 11:00:00,NVDA,NVIDIA Corporation,486.24,2400,2291.75
2024-10-01 11:00:00,PG,Procter & Gamble Company,153.95,3250,2291.75
2024-10-01 11:00:00,TSLA,Tesla Inc.,250.36,1600,2291.75
2024-10-01 11:00:00,WMT,Walmart Inc.,162.05,690,2291.75
2024-10-01 12:00:00,AMZN,Amazon.com Inc.,145.59,480,2293.42
2024-10-01 12:00:00,JPM,JPMorgan Chase & Co.,147.64,280,2293.42
2024-10-01 12:00:00,META,Meta Platforms Inc.,300.33,2460,2293.42
2024-10-01 12:00:00,MSFT,Microsoft Corporation,329.75,2960,2293.42
2024-10-01 12:00:00,NVDA,NVIDIA Corporation,486.92,670,2293.42
2024-10-01 12:00:00,PG,Procter & Gamble Company,154.17,240,2293.42
2024-10-01 12:00:00,WMT,Walmart Inc.,162.28,310,2293.42
2024-10-01 13:00:00,AAPL,Apple Inc.,175.13,2900,2290.64
2024-10-01 13:00:00,AMZN,Amazon.com Inc.,145.73,590,2290.64
2024-10-01 13:00:00,GOOGL,Alphabet Inc.,140.76,1790,2290.64
2024-10-01 13:00:00,JPM,JPMorgan Chase & Co.,147.6,750,2290.64
2024-10-01 13:00:00,META,Meta Platforms Inc.,300.53,1170,2290.64
2024-10-01 13:00:00,MSFT,Microsoft Corporation,328.26,280,2290.64
2024-10-01 13:00:00,NVDA,NVIDIA Corporation,485.91,660,2290.64
2024-10-01 13:00:00,PG,Procter & Gamble Company,154.05,480,2290.64
2024-10-01 13:00:00,TSLA,Tesla Inc.,250.35,960,2290.64
2024-10-01 13:00:00,WMT,Walmart Inc.,162.32,1020,2290.64
2024-10-01 14:00:00,AAPL,Apple Inc.,174.94,2010,2291.57
2024-10-01 14:00:00,AMZN,Amazon.com Inc.,145.74,970,2291.57
2024-10-01 14:00:00,GOOGL,Alphabet Inc.,140.98,1250,2291.57
2024-10-01 14:00:00,JPM,JPMorgan Chase & Co.,148.32,1290,2291.57
2024-10-01 14:00:00,META,Meta Platforms Inc.,300.77,1660,2291.57
2024-10-01 14:00:00,MSFT,Microsoft Corporation,328.69,3380,2291.57
2024-10-01 14:00:00,NVDA,NVIDIA Corporation,484.67,1610,2291.57
2024-10-01 14:00:00,PG,Procter & Gamble Company,154.64,1610,2291.57
2024-10-01 14:00:00,TSLA,Tesla Inc.,250.5,2680,2291.57
2024-10-01 14:00:00,WMT,Walmart Inc.,162.32,570,2291.57
2024-10-01 15:00:00,AAPL,Apple Inc.,175.74,820,2289.96
2024-10-01 15:00:00,AMZN,Amazon.com Inc.,145.3,680,2289.96
2024-10-01 15:00:00,GOOGL,Alphabet Inc.,140.55,800,2289.96
2024-10-01 15:00:00,JPM,JPMorgan Chase & Co.,148.94,780,2289.96
2024-10-01 15:00:00,META,Meta Platforms Inc.,300.07,540,2289.96
2024-10-01 15:00:00,MSFT,Microsoft Corporation,327.47,370,2289.96
2024-10-01 15:00:00,NVDA,NVIDIA Corporation,484.1,350,2289.96
2024-10-01 15:00:00,PG,Procter & Gamble Company,155.14,1530,2289.96
